Year;Attribut; Value ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 12 387 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 12 655 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 12 897 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 13 131 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 13 362 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 13 623 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 13 897 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 14 187 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 14 485 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 14 781 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 15 093 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 15 398 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 15 709 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 16 028 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 16 364 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 16 735 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 17 135 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 17 549 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 17 991 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 18 438 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 18 916 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 19 418 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 19 929 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 75 553 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 78 089 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 80 776 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 83 544 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 86 283 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 89 218 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 92 380 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 95 643 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 98 996 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 102 515 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 105 898 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 109 032 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 112 217 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 115 419 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 118 642 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 121 928 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 125 266 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 128 610 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 131 877 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 135 303 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 138 819 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 142 404 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 146 054 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 149 724 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 153 395 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 157 074 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 160 789 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 164 640 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 68 442 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 70 858 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 73 415 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 76 095 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 78 844 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 81 714 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 84 723 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 87 890 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 91 113 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 94 232 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 97 272 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 100 183 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 103 005 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 105 746 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 108 402 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 110 911 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 113 403 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 115 777 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 118 105 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 120 430 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 122 672 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 124 824 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 127 009 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 129 019 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 131 135 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 133 218 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 135 165 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 137 128 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 265 857 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 278 191 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 290 967 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 303 862 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 317 174 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 330 478 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 343 123 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 354 924 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 365 865 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 376 956 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 388 036 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 399 787 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 410 877 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 422 180 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 432 908 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 444 115 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 454 862 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 465 470 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 476 301 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 487 315 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 498 846 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 511 056 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 524 431 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 538 705 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 553 910 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 570 310 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 588 054 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 607 002 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 169 140 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 169 608 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 169 565 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 169 298 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 168 783 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 168 305 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 167 090 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 165 143 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 162 996 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 160 820 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 159 014 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 157 542 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 156 264 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 155 060 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 153 986 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 153 127 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 152 378 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 151 590 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 150 855 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 150 259 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 150 106 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 150 079 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 150 125 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 150 147 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 150 261 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 150 218 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 150 224 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 150 459 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 446 578 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 452 310 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 456 751 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 460 196 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 462 662 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 464 549 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 464 756 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 462 459 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 458 953 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 455 295 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 452 678 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 450 273 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 447 485 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 444 742 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 442 665 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 441 170 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 439 916 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 438 756 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 437 744 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 437 668 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 438 498 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 440 073 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 441 808 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 443 507 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 444 946 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 446 524 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 447 914 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 449 705 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 25 516 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 25 858 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 26 227 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 26 641 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 27 094 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 27 609 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 28 189 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 28 779 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 29 406 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 30 062 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 30 736 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 31 486 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 32 280 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 33 110 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 33 971 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 34 872 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 35 741 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 36 584 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 37 402 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 38 211 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 39 093 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 40 057 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 40 981 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 41 937 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 42 887 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 43 835 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 44 809 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 45 768 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 329 716 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 331 126 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 332 387 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 333 637 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 334 774 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 335 835 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 336 082 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 335 924 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 335 453 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 334 935 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 334 864 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 335 199 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 335 635 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 336 032 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 336 398 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 337 120 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 338 122 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 338 940 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 339 760 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 340 677 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 341 486 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 342 258 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 343 014 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 343 441 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 344 039 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 344 448 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 344 816 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 345 402 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 107 843 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 139 341 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 171 733 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 205 448 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 239 694 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 274 732 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 309 300 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 343 671 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 379 021 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 417 510 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 456 901 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 499 160 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 541 963 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 587 727 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 633 748 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 681 379 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 730 371 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 778 507 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 828 007 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 879 318 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 934 541 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 994 408 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 2 056 396 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 2 122 189 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 2 188 742 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 2 260 431 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 2 335 766 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 2 415 312 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 216 064 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 216 741 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 217 117 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 217 276 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 217 001 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 216 750 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 215 450 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 212 499 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 208 781 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 205 131 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 202 565 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 200 776 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 199 158 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 197 730 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 196 689 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 196 175 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 195 883 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 195 599 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 195 682 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 196 098 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 196 929 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 198 125 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 199 303 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 200 690 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 202 229 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 203 955 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 205 739 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 207 520 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 12 121 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 12 115 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 11 878 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 12 373 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 12 951 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 13 393 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 13 834 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 14 634 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 15 421 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 16 203 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 16 986 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 17 766 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 18 647 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 19 517 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 20 248 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 20 919 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 21 654 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 22 448 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 23 333 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 24 271 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 25 307 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 26 366 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 27 392 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 28 450 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 29 450 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 30 539 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 31 702 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 32 853 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 752 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 745 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 739 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 731 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 725 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 720 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 716 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 716 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 719 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 722 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 729 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 736 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 746 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 759 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 772 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 785 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 796 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 806 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 817 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 828 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 840 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 853 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 867 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 882 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 897 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 912 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 927 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 944 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 169 362 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 174 029 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 178 719 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 183 492 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 188 300 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 193 239 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 198 721 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 205 271 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 212 153 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 218 963 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 224 960 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 230 360 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 235 835 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 241 196 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 246 342 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 251 463 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 256 184 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 260 606 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 264 910 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 269 122 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 273 487 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 277 966 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 282 174 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 286 170 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 289 754 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 293 209 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 296 203 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 299 173 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 40 407 465 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 41 060 219 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 41 674 576 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 42 253 326 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 42 826 600 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 43 357 276 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 43 845 732 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 44 313 153 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 44 786 919 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 45 335 224 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 45 954 922 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 46 652 910 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 47 379 188 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 48 115 545 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 48 897 308 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 49 682 396 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 50 571 510 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 51 581 158 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 52 640 993 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 53 688 670 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 54 610 467 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 55 429 583 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 56 199 643 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 56 933 480 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 57 618 921 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 58 209 986 ;;;;;;;;;
